1,9,2
0,9,2
1,9,2
1,11,6
1,7,6
0,2,5
0,2,7
1,8,5
2,10,2
1,9,0
1,9,0
1,10,1
1,10,4
0,6,5
0,5,6
0,7,5
0,8,4
1,8,2
1,9,0
1,9,1
1,10,2
0,10,4
0,7,6
0,2,6
0,4,7
0,7,7
0,8,4
0,15,6
0,9,2
1,9,2
0,9,4
0,9,6
0,4,6
0,3,7
0,6,7
0,8,6
1,8,3
1,9,3
1,9,1
1,9,1
1,9,1
0,10,4
1,8,5
0,4,5
0,5,6
0,8,6
0,9,3
0,11,9
1,9,2
0,9,2
1,9,2
0,9,4
0,8,5
0,4,6
0,5,5
0,8,5
1,8,2
1,9,2
1,9,1
0,9,3
1,9,5
0,6,6
0,4,7
0,5,7
0,7,6
1,8,4
1,9,3
1,9,2
1,9,2
1,9,3
1,9,6
0,5,6
0,3,7
0,5,7
1,8,6
1,8,4
1,9,3
1,9,2
1,9,3
1,9,5
0,6,5
0,4,7
0,5,6
0,8,7
1,8,3
1,10,3
1,9,1
1,9,3
1,9,5
0,5,6
0,4,7
0,6,7
1,7,4
1,8,3
1,9,2
1,9,1
1,9,3
1,9,6
0,5,5
0,5,7
0,6,6
1,8,5
1,9,2
1,9,3
1,9,1
1,9,3
1,9,6
0,5,6
0,3,7
0,6,5
0,9,5
0,8,2
1,10,1
0,9,1
1,9,0
2,9,1
1,9,0
1,9,0
